Title;Artist;Genre;Year;Bpm;Energy;Danceability;Db;Liveness;Valence;Duration;Acousticness;Speechiness;Popularity
TiK ToK;Kesha;Pop;2010;120;84;76;-3;29;71;200;10;14;83
Timber (feat. Ke$ha);Pitbull;Pop;2012;130;96;58;-4;14;79;204;3;10;83
Titanium (feat. Sia);David Guetta;Other;2012;126;79;60;-4;13;30;245;7;10;83
Whenever Wherever;Shakira;Pop;2001;108;83;79;-5;20;87;196;24;4;83
Wow.;Post Malone;Hip hop/Rap/R&b;2019;100;54;83;-7;10;39;150;14;21;83
XO Tour Llif3;Lil Uzi Vert;Hip hop/Rap/R&b;2017;155;75;73;-6;11;40;183;0;23;83
Yes Indeed;Lil Baby;Hip hop/Rap/R&b;2018;120;35;96;-9;11;56;142;4;53;83
You Right;Doja Cat;Pop;2021;129;62;83;-6;8;44;186;2;6;83
A Thousand Years;Christina Perri;Pop;2011;139;41;42;-7;11;16;285;31;3;82
About Damn Time;Lizzo;Other;2022;109;74;84;-6;34;72;192;10;7;82
All I Want;Kodaline;Pop;2013;187;41;19;-10;8;16;306;17;5;82
Alright;Kendrick Lamar;Hip hop/Rap/R&b;2015;110;77;80;-6;8;56;219;7;24;82
Animals;Maroon 5;Pop;2014;190;74;28;-6;59;33;231;0;9;82
Bam Bam (feat. Ed Sheeran);Camila Cabello;Pop;2022;95;70;76;-6;33;96;206;18;4;82
Bitch Better Have My Money;Rihanna;Pop;2015;103;73;78;-5;26;40;219;5;6;82
Candy Shop;50 Cent;Hip hop/Rap/R&b;2005;125;57;61;-8;38;76;209;3;47;82
Chasing Cars;Snow Patrol;Rock/Metal;2006;104;60;56;-5;13;14;268;20;3;82
Classic;MKTO;Pop;2012;102;79;72;-5;16;76;175;4;12;82
Dancing On My Own;Calum Scott;Pop;2018;113;17;68;-9;10;23;260;84;3;82
Despacito;Luis Fonsi;Pop;2019;178;80;66;-5;7;84;229;20;15;82
Dog Days Are Over;Florence + The Machine;Pop;2009;150;81;50;-5;12;26;253;3;9;82
Don't Let Me Down;The Chainsmokers;Other;2016;160;87;53;-5;14;42;208;16;17;82
Don't Stop The Music;Rihanna;Pop;2008;123;67;84;-6;5;54;267;3;6;82
Dynamite;Taio Cruz;Pop;2010;120;78;75;-4;4;82;203;0;9;82
Electric Love;BØRNS;Other;2015;120;80;61;-8;26;52;218;1;5;82
Going Bad (feat. Drake);Meek Mill;Hip hop/Rap/R&b;2018;86;50;89;-6;25;54;181;26;9;82
"Happy - From ""Despicable Me 2""";Pharrell Williams;Pop;2014;160;82;65;-5;9;96;233;22;18;82
Heathens;Twenty One Pilots;Rock/Metal;2016;90;40;73;-9;11;55;196;8;3;82
Homecoming;Kanye West;Hip hop/Rap/R&b;2007;87;75;67;-7;12;92;203;34;19;82
I Fall Apart;Post Malone;Hip hop/Rap/R&b;2016;144;54;56;-5;20;29;223;7;4;82
I Feel It Coming;The Weeknd;Hip hop/Rap/R&b;2016;93;82;77;-6;7;59;269;43;12;82
If I Ain't Got You;Alicia Keys;Other;2003;118;44;61;-9;10;17;229;60;11;82
I'm Yours;Jason Mraz;Pop;2008;151;44;70;-9;10;71;243;56;4;82
In the Name of Love;Martin Garrix;EDM;2016;134;52;50;-6;45;17;196;11;4;82
It's My Life;Bon Jovi;Rock/Metal;2000;120;91;55;-4;35;54;224;3;5;82
Kings & Queens;Ava Max;Pop;2020;130;69;64;-4;12;46;162;1;4;82
Kiss Me More (feat. SZA);Doja Cat;Pop;2021;111;71;76;-3;12;78;209;26;3;82
LA NOCHE DE ANOCHE;Bad Bunny;Latin/Reggaeton;2020;82;62;86;-5;9;39;203;3;29;82
Let You Down;NF;Hip hop/Rap/R&b;2017;148;71;66;-6;18;46;212;31;12;82
Levels - Radio Edit;Avicii;EDM;2011;126;89;58;-6;31;46;200;5;3;82
Little Dark Age;MGMT;Rock/Metal;2018;98;71;71;-6;10;62;300;1;4;82
Lose Yourself;Eminem;Hip hop/Rap/R&b;2004;171;74;69;-5;34;6;322;1;26;82
Love Me;Lil Wayne;Hip hop/Rap/R&b;2013;125;63;67;-6;9;50;255;1;3;82
love nwantiti (ah ah ah);CKay;Hip hop/Rap/R&b;2019;93;74;73;-4;16;53;146;37;4;82
Love Story (Taylor’s Version);Taylor Swift;Pop;2021;119;79;63;-4;10;42;236;14;3;82
Low (feat. T-Pain);Flo Rida;Pop;2008;128;61;92;-6;14;30;231;9;8;82
Maneater;Nelly Furtado;Latin/Reggaeton;2006;133;78;80;-5;12;79;259;3;4;82
Mercy;Shawn Mendes;Pop;2017;148;66;56;-5;11;36;209;13;8;82
"Moves Like Jagger - Studio Recording From ""The Voice"" Performance";Maroon 5;Pop;2010;128;76;72;-4;32;62;201;1;5;82
New Rules;Dua Lipa;Pop;2017;116;70;76;-6;15;61;209;0;7;82
Not Afraid;Eminem;Hip hop/Rap/R&b;2010;115;95;86;-1;21;67;248;53;26;82
Otherside;Red Hot Chili Peppers;Rock/Metal;1999;123;80;46;-3;8;51;255;0;6;82
Outside (feat. Ellie Goulding);Calvin Harris;Pop;2014;128;82;65;-4;32;42;227;21;4;82
Poker Face;Lady Gaga;Pop;2008;119;81;85;-5;12;79;237;12;8;82
Ransom;Lil Tecca;Hip hop/Rap/R&b;2019;180;64;75;-6;7;23;131;2;29;82
RAPSTAR;Polo G;Hip hop/Rap/R&b;2021;81;54;79;-7;13;44;166;41;24;82
Reckless;Madison Beer;Pop;2021;180;43;39;-7;14;26;203;81;4;82
Robbery;Juice WRLD;Hip hop/Rap/R&b;2019;80;69;62;-5;15;57;240;33;5;82
Rude;MAGIC!;Pop;2014;144;76;77;-5;31;93;225;4;4;82
S&M;Rihanna;Pop;2010;128;68;77;-5;9;84;244;1;4;82
Say It Right;Nelly Furtado;Latin/Reggaeton;2006;117;87;87;-6;5;81;223;5;14;82
Señorita;Shawn Mendes;Pop;2019;117;55;76;-6;8;75;191;4;3;82
Silence;Marshmello;Other;2017;142;76;52;-3;17;29;181;26;9;82
Stitches;Shawn Mendes;Pop;2015;150;75;75;-7;5;75;207;2;7;82
Stolen Dance;Milky Chance;Pop;2013;114;58;88;-9;8;73;314;43;4;82
Stuck with U (with Justin Bieber);Ariana Grande;Pop;2020;179;45;60;-7;38;54;228;22;4;82
Sunshine;OneRepublic;Rock/Metal;2021;140;88;70;-5;28;77;164;14;3;82
Teenagers;My Chemical Romance;Rock/Metal;2006;112;86;46;-3;18;86;162;5;6;82
The Next Episode;Dr. Dre;Other;1999;95;91;92;-2;9;31;162;3;27;82
Time of Our Lives;Pitbull;Pop;2014;124;80;72;-6;69;72;229;9;6;82
Treasure;Bruno Mars;Pop;2012;116;69;87;-5;32;94;179;4;4;82
Wait a Minute!;WILLOW;Other;2015;101;71;76;-5;9;67;197;4;3;82
Wannabe;Spice Girls;Pop;1996;110;86;77;-6;16;89;173;10;3;82
What I've Done;Linkin Park;Rock/Metal;2007;120;93;62;-5;14;29;206;1;3;82
What You Know Bout Love;Pop Smoke;Other;2021;84;55;71;-8;13;54;160;65;35;82
Where Is The Love?;Black Eyed Peas;Pop;2003;94;70;83;-3;13;81;273;11;18;82
Wrecking Ball;Miley Cyrus;Pop;2013;120;42;53;-6;11;35;221;41;3;82
Young Dumb & Broke;Khalid;Pop;2017;137;54;80;-6;17;39;203;20;4;82
...Baby One More Time;Britney Spears;Pop;1999;93;70;76;-6;44;91;211;20;3;81
All Falls Down;Kanye West;Hip hop/Rap/R&b;2004;91;73;66;-5;14;43;224;15;48;81
Back To Black;Amy Winehouse;Other;2006;123;42;40;-14;9;38;241;13;4;81
Beautiful Mistakes (feat. Megan Thee Stallion);Maroon 5;Pop;2021;99;68;71;-5;15;72;227;4;3;81
Before He Cheats;Carrie Underwood;Other;2005;148;75;52;-3;12;29;200;27;4;81
Best Day Of My Life;American Authors;Rock/Metal;2014;100;90;67;-2;6;54;194;6;3;81
Budapest;George Ezra;Pop;2014;128;46;72;-8;11;39;201;8;3;81
Calling My Phone;Lil Tjay;Other;2021;105;39;91;-8;14;20;205;45;5;81
Chandelier;Sia;Pop;2014;117;79;40;-3;7;57;216;2;5;81
Complicated;Avril Lavigne;Pop;2002;78;78;59;-6;30;43;245;6;5;81
Danza Kuduro;Don Omar;Hip hop/Rap/R&b;2010;89;92;40;-5;5;88;199;8;28;81
Dark Horse;Katy Perry;Pop;2013;132;59;65;-6;17;35;216;0;5;81
DJ Got Us Fallin' In Love (feat. Pitbull);Usher;Hip hop/Rap/R&b;2010;120;86;66;-3;8;65;221;3;11;81
DNA.;Kendrick Lamar;Hip hop/Rap/R&b;2017;140;52;64;-7;8;42;186;0;36;81
Drag Me Down;One Direction;Other;2015;138;70;73;-6;7;60;192;11;4;81
Everybody Talks;Neon Trees;Rock/Metal;2012;155;92;47;-4;31;73;177;0;6;81
Faded;Alan Walker;EDM;2018;180;63;47;-5;11;16;212;3;5;81
Forgot About Dre;Dr. Dre;Other;1999;134;74;92;-1;16;62;222;8;8;81
Gimme More;Britney Spears;Pop;2007;113;84;79;-3;7;38;251;25;3;81
Gold Digger;Kanye West;Hip hop/Rap/R&b;2005;93;70;63;-6;6;62;208;2;35;81
Good Days;SZA;Pop;2020;121;66;44;-8;69;41;279;50;6;81
Goodbyes (feat. Young Thug);Post Malone;Hip hop/Rap/R&b;2019;150;65;55;-4;10;16;175;46;8;81
Hall of Fame (feat. will.i.am);The Script;Rock/Metal;2012;85;87;42;-4;12;63;203;7;6;81
Havana (feat. Young Thug);Camila Cabello;Pop;2018;105;52;77;-4;13;39;217;18;3;81
How to Save a Life;The Fray;Other;2005;122;74;64;-4;10;36;263;27;4;81
How You Remind Me;Nickelback;Rock/Metal;2001;172;76;45;-5;10;54;224;0;3;81
I Don’t Wanna Live Forever (Fifty Shades Darker);ZAYN;Pop;2017;118;45;73;-8;14;11;247;6;5;81
IDGAF;Dua Lipa;Pop;2017;97;54;84;-6;8;51;218;4;9;81
Just Dance;Lady Gaga;Pop;2008;119;74;82;-5;18;75;242;3;3;81
Just the Way You Are;Bruno Mars;Pop;2010;109;84;64;-5;6;42;221;1;4;81
Kryptonite;3 Doors Down;Rock/Metal;2000;99;87;55;-6;17;54;234;1;3;81
Little Talks;Of Monsters and Men;Pop;2012;103;76;46;-5;15;42;267;2;3;81
Love;Keyshia Cole;Pop;2005;117;52;69;-4;10;32;255;6;3;81
Love Me Harder;Ariana Grande;Pop;2014;99;71;47;-4;8;24;236;1;3;81
Magnolia;Playboi Carti;Hip hop/Rap/R&b;2017;163;58;79;-7;35;44;182;1;29;81
MAMIII;Becky G;Pop;2022;94;70;84;-4;14;90;226;9;8;81
Mo Bamba;Sheck Wes;Hip hop/Rap/R&b;2018;146;63;73;-5;25;26;184;19;3;81
MONEY;LISA;Pop;2021;140;55;83;-10;15;40;168;16;22;81
More Than You Know;Axwell /\ Ingrosso;EDM;2017;123;74;65;-5;31;57;203;3;3;81
NO;Meghan Trainor;Pop;2017;92;80;56;-4;74;66;214;1;21;81
Numb / Encore;JAY-Z;Hip hop/Rap/R&b;2004;107;79;69;-4;58;75;206;6;17;81
Perfect;One Direction;Other;2015;100;82;65;-5;12;40;230;6;8;81
Pon de Replay;Rihanna;Pop;2005;99;64;78;-8;10;50;247;0;16;81
Prisoner (feat. Dua Lipa);Miley Cyrus;Pop;2020;128;67;78;-4;8;60;169;1;5;81
Radioactive;Imagine Dragons;Rock/Metal;2012;136;78;45;-4;67;24;187;11;6;81
Ride It;Regard;Pop;2019;118;75;88;-4;11;88;158;18;9;81
Roar;Katy Perry;Pop;2013;90;77;67;-5;35;44;224;0;3;81
Royals;Lorde;Pop;2013;85;43;67;-10;13;34;190;12;12;81
Rude Boy;Rihanna;Pop;2009;174;75;56;-4;8;81;223;11;13;81
Run This Town;JAY-Z;Hip hop/Rap/R&b;2009;87;92;63;-2;26;44;268;28;29;81
She Will Be Loved - Radio Mix;Maroon 5;Pop;2002;102;66;65;-6;10;47;259;23;3;81
Snow (Hey Oh);Red Hot Chili Peppers;Rock/Metal;2006;105;90;43;-4;12;60;335;12;5;81
Steal My Girl;One Direction;Other;2014;77;77;54;-6;11;55;228;0;3;81
Super Bass;Nicki Minaj;Pop;2010;127;86;72;-4;60;67;200;27;20;81
Take Me Out;Franz Ferdinand;Rock/Metal;2004;105;66;28;-9;14;53;237;0;4;81
Temperature;Sean Paul;Pop;2005;125;60;95;-5;7;82;219;11;7;81
The Business;Tiësto;Other;2020;120;62;80;-7;11;24;164;41;23;81
The Middle;Zedd;Other;2018;107;66;75;-3;11;44;185;17;4;81
This Is The Life;Amy Macdonald;Other;2007;95;88;63;-5;7;85;184;26;3;81
This Love;Maroon 5;Pop;2002;95;86;71;-5;9;81;206;5;4;81
Todo De Ti;Rauw Alejandro;Pop;2021;128;72;78;-4;9;34;200;31;5;81
Walking On A Dream;Empire of the Sun;Pop;2008;127;70;87;-6;6;72;198;26;5;81
WAP (feat. Megan Thee Stallion);Cardi B;Pop;2020;133;45;94;-8;8;36;188;2;38;81
We Can't Stop;Miley Cyrus;Pop;2013;80;62;61;-6;37;48;231;1;3;81
Wildest Dreams;Taylor Swift;Pop;2014;140;66;55;-7;11;47;220;7;7;81
willow;Taylor Swift;Pop;2020;81;57;39;-9;14;53;215;83;17;81
Work;Rihanna;Pop;2016;92;53;73;-6;9;56;219;8;9;81
34+35;Ariana Grande;Pop;2020;110;59;83;-6;25;49;174;24;9;80
Adventure of a Lifetime;Coldplay;Other;2015;112;92;64;-4;15;53;264;0;4;80
All Of The Lights;Kanye West;Hip hop/Rap/R&b;2010;142;80;53;-3;18;22;300;8;7;80
Alors on danse - Radio Edit;Stromae;Pop;2010;120;59;79;-9;7;71;206;10;8;80
American Idiot;Green Day;Rock/Metal;2004;186;99;38;-2;37;77;176;0;6;80
Bang Bang;Jessie J;Pop;2014;150;79;71;-3;38;75;199;26;9;80
Be Alright;Dean Lewis;Pop;2018;127;59;55;-6;8;44;196;70;4;80
Bleed It Out;Linkin Park;Rock/Metal;2007;140;97;53;-4;61;60;166;11;5;80
boyfriend (with Social House);Ariana Grande;Pop;2019;190;80;40;-4;16;70;186;12;46;80
Can I Be Him;James Arthur;Pop;2016;108;54;70;-6;9;48;247;31;5;80
"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")";Justin Timberlake;Pop;2016;113;83;67;-6;19;70;236;1;8;80
Cheap Thrills;Sia;Pop;2016;90;70;63;-6;9;73;212;5;11;80
Cheerleader - Felix Jaehn Remix Radio Edit;OMI;EDM;2015;118;69;78;-6;16;60;181;17;3;80
Con Calma;Daddy Yankee;Hip hop/Rap/R&b;2019;94;86;74;-3;6;66;193;11;6;80
Cool for the Summer;Demi Lovato;Pop;2015;114;61;58;-6;14;34;215;0;4;80
Crazy In Love (feat. Jay-Z);Beyoncé;Pop;2003;99;77;65;-7;7;68;236;0;23;80
DÁKITI;Bad Bunny;Latin/Reggaeton;2020;110;57;73;-10;11;14;205;40;5;80
Dilemma;Nelly;Pop;2002;168;55;73;-8;20;61;289;23;14;80
Disturbia;Rihanna;Pop;2008;125;81;71;-5;17;72;239;9;6;80
DOGTOOTH;Tyler, The Creator;Hip hop/Rap/R&b;2023;78;65;71;-6;22;80;161;51;32;80
Down;Jay Sean;Pop;2009;132;68;73;-4;8;73;213;1;3;80
Drops of Jupiter (Tell Me);Train;Pop;2001;79;64;48;-6;15;50;260;15;3;80
Drowning (feat. Kodak Black);A Boogie Wit da Hoodie;Hip hop/Rap/R&b;2017;129;81;84;-5;12;81;209;50;6;80
Exchange;Bryson Tiller;Hip hop/Rap/R&b;2015;160;43;53;-11;14;28;195;11;19;80
Faint;Linkin Park;Rock/Metal;2003;135;98;55;-4;7;59;163;11;13;80
Fireflies;Owl City;Other;2009;180;66;51;-7;12;47;228;3;4;80
Fluorescent Adolescent;Arctic Monkeys;Rock/Metal;2007;112;83;65;-5;12;79;184;0;3;80
FourFiveSeconds;Rihanna;Pop;2015;206;27;58;-6;13;35;188;88;5;80
Girl on Fire;Alicia Keys;Other;2012;93;71;48;-6;11;14;225;14;6;80
Glad You Came;The Wanted;Other;2011;127;85;72;-4;11;45;198;3;6;80
Go Flex;Post Malone;Hip hop/Rap/R&b;2016;82;50;67;-8;8;13;180;23;8;80
Grenade;Bruno Mars;Pop;2010;110;56;70;-7;11;25;222;15;5;80
Head & Heart (feat. MNEK);Joel Corry;Pop;2020;123;87;73;-3;5;91;166;17;7;80
Heart Attack;Demi Lovato;Pop;2013;174;79;50;-5;24;50;211;7;10;80
Hey Brother;Avicii;EDM;2013;125;78;55;-5;8;46;255;3;4;80
Hey There Delilah;Plain White T's;Rock/Metal;2005;104;29;66;-11;11;30;233;87;3;80
Ho Hey;The Lumineers;Pop;2012;80;47;68;-9;9;42;163;77;3;80
1973;James Blunt;Other;2007;123;67;72;-8;8;77;280;7;3;71
Hold Me While You Wait;Lewis Capaldi;Pop;2019;107;53;69;-6;10;16;206;44;3;80
I Knew You Were Trouble.;Taylor Swift;Pop;2012;77;47;62;-7;3;68;220;0;4;80
I Like It;Cardi B;Pop;2018;136;73;82;-4;37;65;253;10;13;80
I Took A Pill In Ibiza - Seeb Remix;Mike Posner;Pop;2016;102;71;66;-7;8;71;198;4;11;80
In My Mind;Dynoro;EDM;2018;126;77;69;-5;12;16;185;18;15;80
INDUSTRY BABY (feat. Jack Harlow);Lil Nas X;Hip hop/Rap/R&b;2021;150;69;74;-7;5;89;212;2;7;80
Island In The Sun;Weezer;Rock/Metal;2001;115;81;65;-6;17;66;200;1;3;80
It Wasn't Me;Shaggy;Pop;2000;95;61;85;-5;31;65;228;6;7;80
Just A Lil Bit;50 Cent;Hip hop/Rap/R&b;2005;97;69;49;-7;32;53;238;3;41;80
Kiss Me More (feat. SZA);Doja Cat;Pop;2021;111;70;76;-4;12;74;209;24;3;80
Like I Can;Sam Smith;Pop;2014;100;63;66;-7;12;48;167;34;4;80
Like I'm Gonna Lose You (feat. John Legend);Meghan Trainor;Pop;2015;108;53;63;-7;18;42;225;40;4;80
Locked Away (feat. Adam Levine);R. City;Other;2015;118;67;51;-6;5;55;227;30;7;80
Lonely;Akon;Pop;2005;90;53;63;-8;26;62;236;34;3;80
"Love Me Like You Do - From ""Fifty Shades Of Grey""";Ellie Goulding;Other;2015;190;61;26;-7;13;28;253;25;5;80
Love Story (Taylor’s Version);Taylor Swift;Pop;2021;119;79;63;-4;8;42;236;13;3;80
Lush Life;Zara Larsson;Pop;2017;98;71;69;-4;21;80;201;13;5;80
m y . l i f e (with 21 Savage & Morray);J. Cole;Hip hop/Rap/R&b;2021;140;59;60;-7;21;8;219;6;14;80
MIA;Bad Bunny;Latin/Reggaeton;2018;97;54;82;-6;10;16;210;1;6;80
My Boo;Usher;Hip hop/Rap/R&b;2004;86;51;66;-8;5;68;223;26;12;80
My Way;Calvin Harris;Pop;2016;120;91;82;-3;16;54;219;9;4;80
Nice For What;Drake;Hip hop/Rap/R&b;2018;93;91;59;-6;12;76;211;9;7;80
Nonstop;Drake;Hip hop/Rap/R&b;2018;155;41;91;-8;10;42;239;2;12;80
On The Floor;Jennifer Lopez;Pop;2011;130;78;73;-5;7;57;285;11;5;80
Oops!...I Did It Again;Britney Spears;Pop;2000;95;83;75;-5;36;89;211;30;4;80
Ophelia;The Lumineers;Pop;2016;76;57;66;-7;9;57;160;61;3;80
P.I.M.P.;50 Cent;Hip hop/Rap/R&b;2003;85;77;71;-3;4;85;249;5;35;80
Put Your Records On;Corinne Bailey Rae;Other;2006;96;51;74;-8;13;54;215;17;4;80
Raise Your Glass;P!nk;Pop;2010;122;71;70;-5;3;62;203;0;8;80
Rasputin;Majestic;Pop;2021;128;91;76;-3;19;66;186;0;11;80
Roses - Imanbek Remix;SAINt JHN;Hip hop/Rap/R&b;2019;122;72;77;-5;35;90;177;2;5;80
Runaway;Kanye West;Hip hop/Rap/R&b;2010;85;57;37;-4;51;11;548;22;11;80
Scars To Your Beautiful;Alessia Cara;Hip hop/Rap/R&b;2015;97;74;57;-6;11;45;230;3;13;80
Scream & Shout;will.i.am;Pop;2013;130;69;77;-7;13;50;283;2;7;80
SexyBack (feat. Timbaland);Justin Timberlake;Pop;2006;117;58;97;-6;5;96;243;6;8;80
Sing For The Moment;Eminem;Hip hop/Rap/R&b;2002;164;82;67;-4;4;19;340;0;14;80
Starships;Nicki Minaj;Pop;2012;125;72;75;-2;25;75;211;14;8;80
Still into You;Paramore;Pop;2013;136;92;60;-4;6;77;216;1;4;80
Sugar, We're Goin Down;Fall Out Boy;Rock/Metal;2005;162;84;49;-5;12;57;229;1;8;80
The Monster;Eminem;Hip hop/Rap/R&b;2013;110;85;78;-4;12;62;250;5;7;80
The Pretender;Foo Fighters;Rock/Metal;2007;173;96;43;-4;3;37;269;0;4;80
Thinkin Bout You;Frank Ocean;Hip hop/Rap/R&b;2012;130;34;72;-11;10;20;201;41;5;80
Thnks fr th Mmrs;Fall Out Boy;Rock/Metal;2007;155;89;46;-5;11;59;204;1;6;80
Thrift Shop (feat. Wanz);Macklemore & Ryan Lewis;Hip hop/Rap/R&b;2012;95;53;78;-7;5;67;236;6;29;80
Tongue Tied;GROUPLOVE;Rock/Metal;2011;113;94;56;-6;16;37;218;1;4;80
When We Were Young;Adele;Other;2015;144;60;38;-6;10;27;291;30;5;80
Whistle;Flo Rida;Pop;2012;104;94;75;-6;29;74;225;2;5;80
Wild Ones (feat. Sia);Flo Rida;Pop;2012;127;86;61;-5;26;44;233;10;6;80
All The Things She Said;t.A.T.u.;Pop;2002;90;83;60;-6;11;38;214;4;4;79
Am I Wrong;Nico & Vinz;Pop;2014;120;68;73;-6;55;78;246;18;3;79
American Boy;Estelle;Other;2008;118;73;69;-3;7;52;285;17;38;79
Bad Blood;Taylor Swift;Pop;2014;170;80;65;-6;15;30;212;9;18;79
Bank Account;21 Savage;Hip hop/Rap/R&b;2017;75;35;88;-8;9;38;220;2;35;79
Beautiful Girls;Sean Kingston;Pop;2007;130;66;76;-6;26;77;225;15;7;79
Bertaut;Nadin Amizah;Pop;2020;119;13;47;-13;11;12;316;93;4;79
Best Song Ever;One Direction;Other;2013;118;88;65;-3;8;49;200;2;5;79
Black and Yellow;Wiz Khalifa;Hip hop/Rap/R&b;2011;164;83;68;-5;27;54;218;6;7;79
Blame (feat. John Newman);Calvin Harris;Pop;2014;128;86;41;-4;34;35;213;3;8;79
Break Free;Ariana Grande;Pop;2014;130;70;69;-5;20;28;215;1;5;79
Break My Heart;Dua Lipa;Pop;2020;113;73;73;-3;35;47;222;17;9;79
Butter;BTS;Pop;2022;110;46;76;-5;8;70;165;0;9;79
Can't Tell Me Nothing;Kanye West;Hip hop/Rap/R&b;2007;80;62;60;-6;82;10;272;1;4;79
changes;XXXTENTACION;Hip hop/Rap/R&b;2018;65;31;67;-10;10;52;122;88;3;79
Crazy;Gnarls Barkley;Hip hop/Rap/R&b;2006;112;59;86;-5;11;64;177;5;3;79
Dancing in the Moonlight;Toploader;Rock/Metal;2000;119;86;63;-3;35;87;233;6;3;79
Dani California;Red Hot Chili Peppers;Rock/Metal;2006;96;91;56;-2;35;73;282;2;4;79
Déjala Que Vuelva (feat. Manuel Turizo);Piso 21;Pop;2018;170;79;68;-4;8;84;220;5;8;79
Die Young;Kesha;Pop;2012;128;70;71;-5;22;80;212;0;5;79
Drive By;Train;Pop;2012;122;84;77;-3;8;72;196;0;3;79
Falling;Trevor Daniel;Hip hop/Rap/R&b;2020;127;43;79;-9;9;24;159;12;4;79
Feel This Moment (feat. Christina Aguilera);Pitbull;Pop;2012;136;76;67;-4;34;54;230;4;16;79
Forever;Chris Brown;Hip hop/Rap/R&b;2008;120;82;67;-4;18;44;279;4;5;79
FRIENDS;Marshmello;Other;2018;95;88;63;-2;13;53;203;21;5;79
Give It To Me;Timbaland;Pop;2007;111;71;98;-4;8;82;234;17;6;79
God is a woman;Ariana Grande;Pop;2018;145;66;60;-6;24;27;198;2;6;79
Good Feeling;Flo Rida;Pop;2012;128;89;71;-4;31;68;248;6;7;79
Good Time;Owl City;Other;2012;126;87;56;-4;37;68;206;2;14;79
Hawái;Maluma;Pop;2020;180;73;78;-3;6;56;199;19;39;79
Headlines;Drake;Hip hop/Rap/R&b;2011;152;57;64;-7;9;43;236;37;11;79
Him & I (with Halsey);G-Eazy;Hip hop/Rap/R&b;2017;88;73;59;-6;31;19;269;5;9;79
Hotline Bling;Drake;Hip hop/Rap/R&b;2016;135;63;89;-8;5;55;267;0;6;79
How Deep Is Your Love;Calvin Harris;Pop;2015;122;87;74;-4;39;34;213;4;7;79
If the World Was Ending (feat. Julia Michaels);JP Saxe;Other;2019;76;47;46;-10;11;60;209;87;13;79
Into You;Ariana Grande;Pop;2016;108;73;62;-6;14;37;244;2;11;79
It Ain't Me (with Selena Gomez);Kygo;EDM;2017;100;53;64;-7;9;52;221;12;7;79
Kids;MGMT;Rock/Metal;2007;123;93;45;-4;36;17;303;0;7;79
Kiss Me Thru The Phone;Soulja Boy;Hip hop/Rap/R&b;2008;150;71;76;-4;7;80;193;2;11;79
Like a Stone;Audioslave;Rock/Metal;2002;108;57;61;-5;10;52;294;1;3;79
Location;Khalid;Pop;2017;80;45;74;-11;9;33;219;33;43;79
Location (feat. Burna Boy);Dave;Hip hop/Rap/R&b;2019;110;50;81;-6;10;55;241;27;30;79
Look Back at It;A Boogie Wit da Hoodie;Hip hop/Rap/R&b;2018;96;59;79;-5;15;54;179;41;4;79
Love Galore (feat. Travis Scott);SZA;Pop;2017;135;59;80;-6;16;41;275;11;7;79
Love Story;Taylor Swift;Pop;2008;119;74;62;-4;8;31;236;13;3;79
Marry You;Bruno Mars;Pop;2010;145;82;62;-5;10;45;230;33;4;79
Me And My Broken Heart;Rixton;Pop;2014;174;78;55;-4;13;55;194;0;3;79
Meet Me At Our Spot;THE ANXIETY;Pop;2020;95;47;77;-8;9;40;163;2;3;79
Memories (feat. Kid Cudi);David Guetta;Other;2010;130;92;55;-4;25;38;211;0;26;79
Memories Remix (feat. Nipsey Hussle & YG);Maroon 5;Pop;2021;91;40;81;-7;8;70;189;86;5;79
Midnight City;M83;Other;2011;105;73;51;-5;7;27;244;2;4;79
Midnight Sky;Miley Cyrus;Pop;2020;110;81;70;-6;25;23;223;0;3;79
Mirrors;Justin Timberlake;Pop;2013;77;51;57;-7;9;51;484;23;5;79
Money In The Grave (Drake ft. Rick Ross);Drake;Hip hop/Rap/R&b;2019;101;50;83;-4;12;10;205;10;5;79
Monster;Skillet;Rock/Metal;2009;135;96;64;-2;8;69;178;4;7;79
no tears left to cry;Ariana Grande;Pop;2018;122;71;70;-6;29;35;206;4;6;79
Nothing Breaks Like a Heart (feat. Miley Cyrus);Mark Ronson;Pop;2018;114;79;60;-6;39;24;217;1;7;79
Old Town Road - Remix;Lil Nas X;Hip hop/Rap/R&b;2019;136;62;88;-6;11;64;157;5;10;79
One More Time;Daft Punk;EDM;2001;123;70;61;-9;33;48;320;2;13;79
Paper Planes;M.I.A.;Other;2007;172;85;45;-6;65;49;205;3;22;79
Pop Out (feat. Lil Tjay);Polo G;Hip hop/Rap/R&b;2019;168;64;77;-7;7;26;167;15;47;79
Power Trip (feat. Miguel);J. Cole;Hip hop/Rap/R&b;2013;100;61;67;-7;43;48;241;32;22;79
Psycho (feat. Ty Dolla $ign);Post Malone;Hip hop/Rap/R&b;2018;140;56;75;-8;11;46;221;55;11;79
ROCKSTAR (feat. Roddy Ricch);DaBaby;Hip hop/Rap/R&b;2020;90;69;75;-8;10;50;182;25;16;79
Rollin' (Air Raid Vehicle);Limp Bizkit;Rock/Metal;2000;96;93;60;-3;21;71;214;1;17;79
Safaera;Bad Bunny;Latin/Reggaeton;2020;96;83;61;-4;11;69;295;1;38;79
